VALOR_MENSAL,DATE,QTD_NAIH
14152357.409999928,2010-01,16302
12797956.469999805,2010-02,13506
14766108.889999622,2010-03,16704
14251503.3699996,2010-04,16422
13992321.86999981,2010-05,17032
13029712.129999472,2010-06,15195
13731431.469999395,2010-07,15558
14492891.900000004,2010-08,15850
13708967.71999973,2010-09,15067
13154297.48000008,2010-10,14737
14017191.899999605,2010-11,14643
13892860.689999102,2010-12,13775
13685193.149999525,2011-01,14453
12596227.919999635,2011-02,14410
13776613.549998827,2011-03,16339
16345138.079999,2011-04,17135
16087910.829999667,2011-05,17709
13972734.929999087,2011-06,16457
14892283.189999646,2011-07,16115
13278491.409999888,2011-08,14982
13995426.700000007,2011-09,14845
15390923.499999775,2011-10,14584
13086852.03999941,2011-11,13065
13590252.809999725,2011-12,13084
14944337.59999946,2012-01,15110
14888269.729998842,2012-02,15083
15085751.32000016,2012-03,14756
15764896.189999688,2012-04,16860
15623435.149999302,2012-05,15685
15203425.009999866,2012-06,15364
16732021.78000033,2012-07,16336
15301810.45000031,2012-08,16998
13732745.930000033,2012-09,14916
14641131.299999734,2012-10,15733
14302872.909998927,2012-11,15211
13158172.400000025,2012-12,13242
13730031.449999848,2013-01,15300
16998661.26999921,2013-02,17273
16775306.730000116,2013-03,17636
15671887.830000078,2013-04,16778
17115118.35999937,2013-05,17532
14702150.219999256,2013-06,15191
16691668.999999328,2013-07,16620
17236499.61000015,2013-08,16948
15107266.259999044,2013-09,15532
14854365.15999918,2013-10,15178
14958687.900000324,2013-11,14271
13017400.369999345,2013-12,10904
15090216.439999865,2014-01,13809
14616475.959999727,2014-02,13777
15221939.609999027,2014-03,14247
13473947.209999405,2014-04,12724
16957865.70999902,2014-05,16166
16172537.490000045,2014-06,14376
16980186.149999958,2014-07,16253
18002789.25000032,2014-08,16882
15337916.229999058,2014-09,16064
15159510.17999957,2014-10,15817
14575006.31999957,2014-11,13925
13315735.020000344,2014-12,12333
12644597.01000044,2015-01,13714
12040195.189999506,2015-02,13570
15563562.719999256,2015-03,15180
16112136.229999073,2015-04,15522
15582635.38999922,2015-05,16094
15527125.829998998,2015-06,15412
16340464.890000345,2015-07,15557
15410729.639999116,2015-08,14488
15596456.159999087,2015-09,13672
12688880.219999785,2015-10,12829
15291317.519999204,2015-11,13648
14725799.589999566,2015-12,12407
14615505.459999893,2016-01,13128
13618348.619999764,2016-02,13095
17170356.139999013,2016-03,15768
17429303.95999962,2016-04,16244
18419489.000000086,2016-05,17089
18261439.84999957,2016-06,16362
15957484.009999573,2016-07,15114
18859728.019998927,2016-08,17507
14617687.819999201,2016-09,15554
15938065.889999354,2016-10,15288
17795635.56000002,2016-11,15847
17955606.45999853,2016-12,15207
17727684.84999887,2017-01,16631
17813104.87999976,2017-02,16430
18510105.95999712,2017-03,18563
16996973.919999138,2017-04,16146
15586295.879999194,2017-05,16295
14832061.099999744,2017-06,15365
15143253.689999653,2017-07,14742
16830062.389999975,2017-08,16273
18437945.839998774,2017-09,17050
18041562.149999328,2017-10,17180
18203173.029999275,2017-11,16468
17028868.459999025,2017-12,15334
17127571.94999929,2018-01,15604
18222787.659999184,2018-02,16420
20340897.77999878,2018-03,17820
20522181.190001886,2018-04,18192
20343407.23000086,2018-05,18943
21542121.58999949,2018-06,19990
22301468.16000126,2018-07,20646
23318726.04999981,2018-08,20828
20307075.78999868,2018-09,18002
18600258.13999788,2018-10,16142
16518323.979998713,2018-11,15461
13970506.599998316,2018-12,13892
